Subcategoria,Nombre del producto,Precio (Q),Imagen,Descripcion,Estado
INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/1,85,https://kossino.com/wp-content/uploads/2023/01/1-1-1-300x300.jpg,"MEDIDA: 53X32.5CM

PESO: 550g

MATERIAL: Policarbonato",Disponible
INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/2,39,https://kossino.com/wp-content/uploads/2023/01/1-2-1.jpg,"MEDIDA: 32.5X26.5CM

PESO: 280g

MATERIAL: Policarbonato",Disponible
INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/3,29,https://kossino.com/wp-content/uploads/2023/01/1-3-1.webp,"MEDIDA: 32.5X17.5CM

PESO: 150g

MATERIAL: Policarbonato",Disponible
INSERTOS DE ACERO INOXIDABLE,INSERTO PERFORADO 1/1 DE 6.5CM,115,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-1-6.5-2-300x300.webp,"MEDIDA: 53×32.5×6.5cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS DE ACERO INOXIDABLE,INSERTO PERFORADO 1/1 DE 10CM,125,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-1-10-1.webp,"MEDIDA: 53×32.5x10cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/1 DE 15CM,145,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-1-15-2.webp,"MEDIDA: 53×32.5x15cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/2 DE 6.5CM,79,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-2-6.5-1.webp,"MEDIDA: 32.5×26.5×6.5cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/2 DE 10CM,89,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-2-10-1-1.webp,"MEDIDA: 32.5×26.5x10cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/2 DE 15CM,109,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-2-15-2.webp,"MEDIDA: 32.5×26.5x15cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS CILÍNDRICO DE ACERO INOXIDABLE,TAPA PARA INSERTO CILÍNDRICO DE 4LT,55,https://kossino.com/wp-content/uploads/2024/11/2235208-4lt.webp,MATERIAL: Acero inoxidable 201,Disponible
INSERTOS CILÍNDRICO DE ACERO INOXIDABLE,TAPA PARA INSERTO CILÍNDRICO DE 7LT,59,https://kossino.com/wp-content/uploads/2024/11/2234428-7lt.webp,MATERIAL: Acero inoxidable 201,Disponible
INSERTOS CILÍNDRICO DE ACERO INOXIDABLE,TAPA PARA INSERTO CILÍNDRICO DE 11LT,65,https://kossino.com/wp-content/uploads/2024/11/2354521-11lt.webp,MATERIAL: Acero inoxidable 201,Disponible
INSERTOS CILÍNDRICO DE ACERO INOXIDABLE,INSERTO CILÍNDRICO 4LT,115,https://kossino.com/wp-content/uploads/2024/11/2234828-4lt.webp,"MEDIDAS: 19X13X20.5cm

CAPACIDAD: 4 litros

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS CILÍNDRICO DE ACERO INOXIDABLE,INSERTO CILÍNDRICO 7LT,155,https://kossino.com/wp-content/uploads/2024/11/2230673-7lt.webp,"MEDIDAS: 24x22x18cm

CAPACIDAD: 7 litros

MATERIAL: Acero inoxidable 201",Disponible
INSERTOS CILÍNDRICO DE ACERO INOXIDABLE,INSERTO CILÍNDRICO 11LT,195,https://kossino.com/wp-content/uploads/2024/11/2328368-11lt.webp,"MEDIDAS: 29X23X22cm

CAPACIDAD: 11 litros

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/1,65,https://kossino.com/wp-content/uploads/2023/01/Lid-1-1-600x600.jpg,"MEDIDA: 53 X 32.5CM

GROSOR: 0.7mm

PESO: 500g

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/2,29,https://kossino.com/wp-content/uploads/2023/01/Lid-1-2.jpg,"MEDIDA: 32.5 X 26.5CM

GROSOR: 0.7mm

PESO: 250g

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/3,24,https://kossino.com/wp-content/uploads/2023/01/Lid-1-3.jpg,"MEDIDA: 32.5 X 17.6CM

GROSOR: 0.7mm

PESO: 150g

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/4,20,https://kossino.com/wp-content/uploads/2023/01/Lid-1-4.jpg,"MEDIDA: 26.5 X 16.2CM

GROSOR: 0.7mm

PESO: 150g

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/6,17,https://kossino.com/wp-content/uploads/2023/01/Lid-1-6-600x702.jpg,"MEDIDA: 17.6 X 16.2CM

GROSOR: 0.7mm

PESO: 100g

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/9,13,https://kossino.com/wp-content/uploads/2023/01/Lid-1-9.jpg,"MEDIDA: 17.6 X 10.8CM

GROSOR: 0.7mm

PESO: 66.5g

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/1,65,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-1-1.webp,"MEDIDA: 53 X 32.5CM

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/2,45,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-2-1.webp,"MEDIDA: 32.5×26.5cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/3,30,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-3-2.webp,"MEDIDA: 32.5×17.6cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
