codigo,subcategoria,nombre del producto,precio (q),imagen,descripcion,estado
K-CAT-INS-PC-LID-1/1,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/1,85,https://kossino.com/wp-content/uploads/2023/01/1-1-1-300x300.jpg,"MEDIDA: 53X32.5CM

PESO: 550g

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-LID-1/2,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/2,39,https://kossino.com/wp-content/uploads/2023/01/1-2-1.jpg,"MEDIDA: 32.5X26.5CM

PESO: 280g

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-LID-1/3,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/3,29,https://kossino.com/wp-content/uploads/2023/01/1-3-1.webp,"MEDIDA: 32.5X17.5CM

PESO: 150g

MATERIAL: Policarbonato",Disponible
K-CAT-INS-SS-PERF-1/1-6.5,INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/1 DE 6.5CM,115,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-1-6.5-2-300x300.webp,"MEDIDA: 53×32.5×6.5cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-PERF-1/1-10,INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/1 DE 10CM,125,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-1-10-1.webp,"MEDIDA: 53×32.5x10cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-PERF-1/1-15,INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/1 DE 15CM,145,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-1-15-2.webp,"MEDIDA: 53×32.5x15cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-PERF-1/2-6.5,INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/2 DE 6.5CM,79,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-2-6.5-1.webp,"MEDIDA: 32.5×26.5×6.5cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-PERF-1/2-10,INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/2 DE 10CM,89,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-2-10-1-1.webp,"MEDIDA: 32.5×26.5x10cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-PERF-1/2-15,INSERTOS PERFORADO DE ACERO INOXIDABLE,INSERTO PERFORADO 1/2 DE 15CM,109,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS-PERF-1-2-15-2.webp,"MEDIDA: 32.5×26.5x15cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SOPA-TAPA-S,INSERTOS CILINDRICO DE ACERO INOXIDABLE,TAPA PARA INSERTO CILINDRICO DE 4LT,55,https://kossino.com/wp-content/uploads/2024/11/2235208-4lt.webp,MATERIAL: Acero inoxidable 201,Disponible
